trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-103.29330144589251,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-89.66039120207861,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,12,-59.16252215211291,"{0: 7, 1: 4, 2: 1, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,3,-84.98230645447249,"{0: 13, 1: 4, 2: 4, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-206.13176471431805,"{0: 20, 1: 1, 2: 4, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-85.94471276437301,"{0: 17, 1: 0, 2: 6, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,14,-22.46753555522642,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-50.08827473192785,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-27.75651035181189,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,16,-2.9357000842252967,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-127.37263321084194,"{0: 17, 1: 3, 2: 1, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-57.46252204347521,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,8,-13.3885053928213,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-118.42735318045078,"{0: 19, 1: 5, 2: 2, 3: 3, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-186.48515211782532,"{0: 11, 1: 1, 2: 2, 3: 3, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-84.09212515905533,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-38.922088509762375,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,7,-53.98700125289459,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-100.51320606987001,"{0: 20, 1: 0, 2: 1, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,17,-25.889739384308406,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,0,-11.211569906807444,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-5.588524133645872,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,5,-40.51116561309691,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",30,0,-10.171817397359716,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,10,20.92131069345389,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,2,-54.45015306735028,"{0: 15, 1: 0, 2: 0, 3: 2, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",20,0,21.305172045270776,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-102.28425995348438,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",20,0,-77.67661563094393,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,0,-53.18193061896703,"{0: 16, 1: 0, 2: 1, 3: 3, 4: 0}",0
