trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.95, 'e': 0.855}",30,0,-135.94310440124696,"{0: 18, 1: 3, 2: 6, 3: 2, 4: 1}",0
2,False,"{'a': 0.95, 'e': 0.8122499999999999}",20,0,-55.90853505947052,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.95, 'e': 0.7716374999999999}",30,15,8.584415588644383,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.95, 'e': 0.7330556249999999}",25,0,-66.57835349411705,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
5,False,"{'a': 0.95, 'e': 0.6964028437499998}",25,0,-63.71901257201457,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.95, 'e': 0.6615827015624998}",25,0,-64.41610126213132,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.95, 'e': 0.6285035664843748}",30,16,9.15962687929921,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.95, 'e': 0.597078388160156}",25,0,-149.009632044639,"{0: 16, 1: 2, 2: 2, 3: 3, 4: 2}",0
9,False,"{'a': 0.95, 'e': 0.5672244687521482}",30,0,-86.388752201628,"{0: 23, 1: 3, 2: 2, 3: 0, 4: 2}",0
10,False,"{'a': 0.95, 'e': 0.5388632453145408}",25,13,1.0102724811590704,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.95, 'e': 0.5119200830488138}",30,0,-175.5303141835281,"{0: 21, 1: 2, 2: 3, 3: 0, 4: 4}",0
12,False,"{'a': 0.95, 'e': 0.486324078896373}",20,0,-26.97347530277233,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
13,False,"{'a': 0.95, 'e': 0.4620078749515544}",30,18,-45.53706508714481,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
14,False,"{'a': 0.95, 'e': 0.43890748120397666}",20,8,-31.60546788473147,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.95, 'e': 0.4169621071437778}",20,0,-82.95317049927411,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.95, 'e': 0.3961140017865889}",20,0,-20.20573549616157,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.95, 'e': 0.37630830169725943}",20,0,3.587798555593885,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.95, 'e': 0.3574928866123964}",20,0,-27.32515145419883,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.95, 'e': 0.33961824228177656}",20,12,7.834785943606554,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.95, 'e': 0.3226373301676877}",30,12,-21.114348642574733,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
21,False,"{'a': 0.95, 'e': 0.3065054636593033}",20,5,-28.047106713087402,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 0}",1
22,False,"{'a': 0.95, 'e': 0.29118019047633814}",35,22,10.187277845547015,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.95, 'e': 0.2766211809525212}",35,8,-65.69945317965816,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 2}",1
24,False,"{'a': 0.95, 'e': 0.26279012190489515}",25,5,20.818459136299627,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.95, 'e': 0.24965061580965037}",30,0,0.7343049291451754,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
26,False,"{'a': 0.95, 'e': 0.23716808501916783}",20,6,-15.879827568712283,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
27,False,"{'a': 0.95, 'e': 0.22530968076820942}",25,0,1.8265856489631396,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
28,False,"{'a': 0.95, 'e': 0.21404419672979894}",20,10,-34.15457873124083,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
29,False,"{'a': 0.95, 'e': 0.20334198689330898}",30,6,-9.423583786535112,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 1}",1
30,False,"{'a': 0.95, 'e': 0.19317488754864354}",35,5,47.4203286035279,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.95, 'e': 0.18351614317121134}",25,9,17.859810924657125,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.95, 'e': 0.17434033601265078}",25,0,22.253234867641762,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
