trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-138.173210402379,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-115.9231244792355,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-148.21990929869557,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.41645266693243,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-13.159289055235622,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-161.6281485256615,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-63.05256517207265,"{0: 18, 1: 5, 2: 0, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.33159784766323,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-244.54679651867536,"{0: 16, 1: 3, 2: 5, 3: 2, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.53740726729137,"{0: 18, 1: 2, 2: 1, 3: 3, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-37.973525306193935,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-162.81202867914854,"{0: 12, 1: 5, 2: 5, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-67.90535207107169,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-184.54760692765393,"{0: 14, 1: 0, 2: 6, 3: 3, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.33114162576139,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.40495842268977,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-58.885998407308044,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-182.48942116562674,"{0: 8, 1: 4, 2: 11, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-126.6195463704958,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.45309057056338,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-166.86661636869547,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-47.03789450321233,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-108.30252163105622,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-168.17908370798523,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-103.71853542320989,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-105.54688526796308,"{0: 17, 1: 3, 2: 1, 3: 3, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-109.5928175815886,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-293.9344634863259,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 5}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-118.93589412963472,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-85.80710802640827,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
